Slovo;Rod;Slovo2;Rod2
O;;O;
moc;ženský;moc;ženský
a;stredný;a;
vplyv;mužský neživotný;vplyv;mužský neživotný
na;;na;
mladého;stredný;mladého;mužský životný
kráľa;mužský životný;kráľa;mužský životný
súperili;ženský;súperili;ženský
dve;ženský;dve;ženský
skupiny;ženský;skupiny;ženský
šľachty;ženský;šľachty;ženský
Tri;ženský;Tri;ženský
kráľovské;ženský;kráľovské;ženský
koruny;ženský;koruny;ženský
Přemyslovcov;mužský životný;Přemyslovcov;mužský životný
Jeho;ženský;Jeho;mužský životný
súper;mužský životný;súper;mužský životný
Vladislav;mužský životný;Vladislav;mužský životný
ktorý;mužský neživotný;ktorý;mužský životný
sa;;sa;
rovnako;;rovnako;
pokúšal;mužský neživotný;pokúšal;mužský životný
zjednotiť;;zjednotiť;
poľské;ženský;poľské;stredný
kniežatstvá;stredný;kniežatstvá;stredný
pod;;pod;
svojou;ženský;svojou;ženský
vládou;ženský;vládou;ženský
bol;ženský;bol;mužský životný
nútený;mužský neživotný;nútený;mužský životný
utiecť;;utiecť;
z;stredný;z;
krajiny;ženský;krajiny;ženský
Přemyslovci;mužský životný;Přemyslovci;mužský životný
dosiahli;ženský;dosiahli;mužský životný
neobyčajný;mužský neživotný;neobyčajný;mužský neživotný
úspech;mužský neživotný;úspech;mužský neživotný
Vzostup;mužský neživotný;Vzostup;mužský neživotný
opäť;;opäť;
nasledovali;ženský;nasledovali;mužský neživotný
problémy;mužský neživotný;problémy;mužský neživotný
Obrovské;ženský;Obrovské;mužský neživotný
výdavky;mužský neživotný;výdavky;mužský neživotný
na;;na;
vojska;stredný;vojska;stredný
diplomatov;mužský životný;diplomatov;mužský životný
dvora;mužský neživotný;dvora;mužský neživotný
aj;;aj;
štedré;ženský;štedré;mužský neživotný
dary;mužský neživotný;dary;mužský neživotný
kráľovým;ženský;kráľovým;mužský životný
stúpencom;mužský životný;stúpencom;mužský životný
ju;ženský;ju;ženský
vyprázdnili;ženský;vyprázdnili;mužský neživotný
Okrem;;Okrem;
toho;stredný;toho;stredný
sa;;sa;
prílišnej;ženský;prílišnej;ženský
rozpínavosti;ženský;rozpínavosti;ženský
českého;mužský neživotný;českého;mužský životný
kráľa;mužský životný;kráľa;mužský životný
zľakli;ženský;zľakli;mužský životný
v;;v;
zahraničí;stredný;zahraničí;stredný
Kráľ;mužský životný;Kráľ;mužský životný
sa;;sa;
totiž;;totiž;
uhorského;mužský neživotný;uhorského;stredný
kráľovstva;stredný;kráľovstva;stredný
vzdať;;vzdať;
Jaroslav;mužský životný;Jaroslav;mužský životný
Pochádzal;mužský neživotný;Pochádzal;mužský životný
z;stredný;z;
jeho;ženský;jeho;mužský životný
otec;mužský životný;otec;mužský životný
bol;ženský;bol;mužský životný
kupcom;mužský životný;kupcom;mužský životný
Detstvo;stredný;Detstvo;stredný
strávil;mužský neživotný;strávil;mužský životný
v;;v;
pri;;pri;
Od;;Od;
roku;mužský neživotný;roku;mužský neživotný
pracoval;mužský neživotný;pracoval;mužský životný
ako;;ako;
vychovávateľ;mužský životný;vychovávateľ;mužský životný
a;stredný;a;
tajomník;mužský životný;tajomník;mužský životný
grófskej;ženský;grófskej;ženský
rodiny;ženský;rodiny;ženský
v;;v;
Taliansku;stredný;Taliansku;stredný
svojim;mužský životný;svojim;stredný
dielom;stredný;dielom;stredný
pripravil;mužský neživotný;pripravil;mužský životný
pôdu;ženský;pôdu;ženský
pre;;pre;
symbolizmus;mužský neživotný;symbolizmus;mužský neživotný
Pokúšal;mužský neživotný;Pokúšal;mužský životný
sa;;sa;
vytvoriť;;vytvoriť;
zbierky;ženský;zbierky;ženský
ktoré;ženský;ktoré;ženský
by;;by;
zachytávali;ženský;zachytávali;ženský
vývoj;mužský neživotný;vývoj;mužský neživotný
ľudstva;stredný;ľudstva;stredný
Inšpiráciu;ženský;Inšpiráciu;ženský
čerpal;mužský neživotný;čerpal;mužský životný
v;;v;
Legende;ženský;Legende;ženský
vekov;mužský neživotný;vekov;mužský neživotný
od;;od;
Huga;mužský životný;Huga;mužský životný
Básnické;ženský;Básnické;ženský
zbierky;ženský;zbierky;ženský
Dáva;;Dáva;
tu;;tu;
do;;do;
súvislosti;ženský;súvislosti;ženský
umenie;stredný;umenie;stredný
a;stredný;a;
rozum;mužský neživotný;rozum;mužský neživotný
Staroveké;ženský;Staroveké;stredný
Grécko;stredný;Grécko;stredný
je;;je;
symbolom;mužský neživotný;symbolom;mužský neživotný
optimizmu;mužský neživotný;optimizmu;mužský neživotný
Verí;;Verí;
v;;v;
ľudské;ženský;ľudské;stredný
poznanie;stredný;poznanie;stredný
a;stredný;a;
silu;ženský;silu;ženský
rozumu;mužský neživotný;rozumu;mužský neživotný
Zachytáva;;Zachytáva;
ľudovú;ženský;ľudovú;ženský
vzburu;ženský;vzburu;ženský
Zo;;Zo;
zbierky;ženský;zbierky;ženský
vyplýva;;vyplýva;
že;;že;
každé;ženský;každé;stredný
zlo;stredný;zlo;stredný
musí;;musí;
byť;;byť;
potrestané;ženský;potrestané;stredný
Hlasy;mužský neživotný;Hlasy;
v;;v;
Jeho;ženský;Jeho;ženský
poviedky;ženský;poviedky;ženský
sú;;sú;
ironické;ženský;ironické;ženský
a;stredný;a;
sentimentálne;;sentimentálne;ženský
ironické;ženský;ironické;
a;stredný;a;
Divadelné;ženský;Divadelné;ženský
hry;ženský;hry;ženský
Divadelné;ženský;Divadelné;ženský
hry;ženský;hry;ženský
písal;mužský neživotný;písal;mužský životný
pre;;pre;
Národné;ženský;Národné;stredný
divadlo;stredný;divadlo;stredný
Drahomíra;ženský;Drahomíra;ženský
V;;V;
sudu;mužský neživotný;sudu;
lásky;ženský;lásky;
Táto;ženský;Táto;ženský
historka;ženský;historka;ženský
sa;;sa;
medzi;;medzi;
ľuďmi;mužský životný;ľuďmi;mužský životný
udomácnila;ženský;udomácnila;ženský
ale;;ale;
nie;;nie;
je;;je;
pravdivá;ženský;pravdivá;ženský
Dielo;stredný;Dielo;stredný
bolo;stredný;bolo;stredný
úspešne;;úspešne;
Literárna;ženský;Literárna;ženský
kritika;ženský;kritika;ženský
Básnické;ženský;Básnické;
profily;mužský neživotný;profily;
O;;O;
Jana;ženský;Jana;
Jeho;ženský;Jeho;mužský neživotný
preklady;mužský neživotný;preklady;mužský neživotný
sú;;sú;
jedny;ženský;jedny;mužský neživotný
z;stredný;z;
najlepších;ženský;najlepších;mužský neživotný
Jeho;ženský;Jeho;ženský
vláda;ženský;vláda;ženský
sa;;sa;
vyznačovala;ženský;vyznačovala;ženský
predovšetkým;;predovšetkým;
obrannými;ženský;obrannými;mužský neživotný
bojmi;mužský neživotný;bojmi;mužský neživotný
na;;na;
hraniciach;ženský;hraniciach;ženský
Adoptoval;mužský neživotný;Adoptoval;mužský životný
ho;;ho;mužský životný
cisár;mužský životný;cisár;mužský životný
po;;po;
ktorého;mužský neživotný;ktorého;mužský životný
smrti;ženský;smrti;ženský
nastúpil;mužský neživotný;nastúpil;mužský životný
na;;na;
trón;mužský neživotný;trón;mužský neživotný
Doba;ženský;Doba;ženský
jeho;ženský;jeho;ženský
vlády;ženský;vlády;ženský
je;;je;
veľmi;;veľmi;
dobre;;dobre;
obdobím;stredný;obdobím;stredný
neskorej;ženský;neskorej;ženský
antiky;ženský;antiky;ženský
najdôležitejším;ženský;najdôležitejším;mužský neživotný
prameňom;mužský neživotný;prameňom;mužský neživotný
je;;je;
dielo;stredný;dielo;stredný
alexandrijského;mužský neživotný;alexandrijského;mužský životný
historika;mužský životný;historika;mužský životný
na;;na;
perzský;mužský neživotný;perzský;mužský neživotný
trón;mužský neživotný;trón;mužský neživotný
potom;;potom;
ako;;ako;
bol;ženský;bol;mužský životný
porazený;mužský životný;porazený;mužský životný
perzský;mužský neživotný;perzský;mužský životný
uzurpátor;mužský životný;uzurpátor;mužský životný
V;;V;
mierovej;ženský;mierovej;ženský
zmluve;ženský;zmluve;ženský
ktorého;mužský neživotný;ktorého;mužský životný
adoptoval;mužský neživotný;adoptoval;mužský životný
pravdepodobne;;pravdepodobne;
odstúpil;mužský neživotný;odstúpil;mužský životný
za;;za;
ich;ženský;ich;ženský
pomoc;;pomoc;ženský
severnú;ženský;severnú;ženský
značnú;ženský;značnú;ženský
časť;ženský;časť;ženský
a;stredný;a;
východné;ženský;východné;stredný
Gruzínsko;stredný;Gruzínsko;stredný
dôsledkom;mužský neživotný;dôsledkom;mužský neživotný
čoho;stredný;čoho;stredný
donútil;mužský neživotný;donútil;mužský životný
k;stredný;k;
cirkevnej;ženský;cirkevnej;ženský
únii;ženský;únii;ženský
s;stredný;s;
Vojaci;mužský životný;Vojaci;mužský životný
menovali;ženský;menovali;mužský životný
dôstojníka;mužský životný;dôstojníka;mužský životný
za;;za;
exarchu;mužský životný;exarchu;mužský životný
a;stredný;a;
obsadili;ženský;obsadili;mužský životný
Podporoval;mužský neživotný;Podporoval;mužský životný
vedy;ženský;vedy;ženský
a;stredný;a;
umenie;stredný;umenie;stredný
Michael;ženský;Michael;mužský životný
Gabriel;mužský životný;Gabriel;mužský životný
Sovietska;ženský;Sovietska;ženský
okupačná;ženský;okupačná;ženský
zóna;ženský;zóna;ženský
a;stredný;a;
sovietsky;mužský neživotný;sovietsky;mužský neživotný
sektor;mužský neživotný;sektor;mužský neživotný
Berlína;mužský neživotný;Berlína;mužský neživotný
Zmluva;ženský;Zmluva;ženský
s;stredný;s;
Obdobie;stredný;Obdobie;stredný
vlády;ženský;vlády;ženský
znamenalo;stredný;znamenalo;stredný
pre;;pre;
rímske;ženský;rímske;stredný
impérium;stredný;impérium;stredný
obdobie;stredný;obdobie;stredný
veľkých;ženský;veľkých;ženský
a;stredný;a;
významných;ženský;významných;ženský
zmien;ženský;zmien;ženský
Cisár;mužský životný;Cisár;mužský životný
podľahol;mužský neživotný;podľahol;mužský životný
zraneniam;stredný;zraneniam;stredný
z;stredný;z;
bitky;ženský;bitky;ženský
a;stredný;a;
stal;mužský neživotný;stal;mužský životný
sa;;sa;
tak;;tak;
prvým;ženský;prvým;mužský životný
rímskym;ženský;rímskym;mužský životný
imperátorom;mužský životný;imperátorom;mužský životný
ktorý;mužský neživotný;ktorý;mužský životný
zahynul;mužský neživotný;zahynul;mužský životný
v;;v;
boji;mužský neživotný;boji;mužský neživotný
Spolu;;Spolu;
s;stredný;s;
ním;mužský neživotný;ním;mužský životný
padli;ženský;padli;ženský
dve;ženský;dve;ženský
tretiny;ženský;tretiny;ženský
vojakov;mužský životný;vojakov;mužský životný
Ako;;Ako;
boli;ženský;boli;mužský životný
povinní;mužský životný;povinní;mužský životný
slúžiť;;slúžiť;
v;;v;
rímskom;mužský neživotný;rímskom;stredný
vojsku;stredný;vojsku;stredný
a;stredný;a;
veľa;;veľa;stredný
gótskych;ženský;gótskych;mužský životný
veľmožov;mužský životný;veľmožov;mužský životný
potom;;potom;
spravila;ženský;spravila;stredný
kariéru;ženský;kariéru;ženský
v;;v;
rímskych;ženský;rímskych;ženský
légiách;ženský;légiách;ženský
Kresťanstvo;stredný;Kresťanstvo;stredný
štátnym;ženský;štátnym;stredný
náboženstvom;stredný;náboženstvom;stredný
Roku;mužský neživotný;Roku;mužský neživotný
vydal;mužský neživotný;vydal;mužský životný
I;;I;
edikt;mužský neživotný;edikt;mužský neživotný
ktorým;ženský;ktorým;mužský neživotný
povýšil;mužský neživotný;povýšil;mužský životný
kresťanstvo;stredný;kresťanstvo;stredný
na;;na;
jediné;ženský;jediné;stredný
oficiálne;;oficiálne;
uznávané;ženský;uznávané;stredný
náboženstvo;stredný;náboženstvo;stredný
v;;v;
Rímskej;ženský;Rímskej;ženský
ríši;ženský;ríši;ženský
To;stredný;To;stredný
znamenalo;stredný;znamenalo;stredný
jednak;;jednak;
zákaz;mužský neživotný;zákaz;mužský neživotný
uctievania;stredný;uctievania;stredný
pohanských;ženský;pohanských;mužský neživotný
kultov;mužský neživotný;kultov;mužský neživotný
ale;;ale;
najmä;;najmä;
ostré;stredný;ostré;stredný
opatrenia;stredný;opatrenia;stredný
proti;;proti;
kresťanským;ženský;kresťanským;ženský
herézam;ženský;herézam;ženský
Rozdelenie;stredný;Rozdelenie;stredný
ríše;ženský;ríše;ženský
Počítal;mužský neživotný;Počítal;mužský životný
s;stredný;s;
tým;;tým;stredný
že;;že;
po;;po;
jeho;ženský;jeho;ženský
smrti;ženský;smrti;ženský
sa;;sa;
o;;o;
ňu;ženský;ňu;ženský
podelia;;podelia;
jeho;ženský;jeho;mužský životný
synovia;mužský životný;synovia;mužský životný
a;stredný;a;
Skutočnosť;ženský;Skutočnosť;ženský
však;;však;
bola;ženský;bola;ženský
iná;ženský;iná;ženský
Kódex;mužský neživotný;Kódex;mužský neživotný
Zámerom;mužský neživotný;Zámerom;mužský neživotný
autora;mužský životný;autora;mužský životný
bolo;stredný;bolo;stredný
zhrnúť;;zhrnúť;
všetko;stredný;všetko;stredný
poznanie;stredný;poznanie;stredný
do;;do;
jediného;mužský neživotný;jediného;stredný
diela;stredný;diela;stredný
vytvoriť;;vytvoriť;
akúsi;ženský;akúsi;ženský
knižnicu;ženský;knižnicu;ženský
v;;v;
jedinej;ženský;jedinej;ženský
knihe;ženský;knihe;ženský
História;ženský;História;ženský
kódexu;mužský neživotný;kódexu;mužský neživotný
Pavel;mužský životný;Pavel;mužský životný
z;stredný;z;
až;;až;
ho;;ho;mužský neživotný
odkúpil;mužský neživotný;odkúpil;mužský životný
pre;;pre;
kláštor;mužský neživotný;kláštor;mužský neživotný
Na;;Na;
konci;mužský neživotný;konci;mužský neživotný
tridsaťročnej;ženský;tridsaťročnej;ženský
vojny;ženský;vojny;ženský
v;;v;
roku;mužský neživotný;roku;mužský neživotný
celú;ženský;celú;ženský
zbierka;ženský;zbierka;ženský
odviezli;ženský;odviezli;mužský životný
Švédi;mužský životný;Švédi;mužský životný
Obsah;mužský neživotný;Obsah;mužský neživotný
kódexu;mužský neživotný;kódexu;mužský neživotný
Legenda;ženský;Legenda;ženský
o;;o;
Diablovej;ženský;Diablovej;ženský
biblie;ženský;biblie;ženský
Podľa;;Podľa;
legendy;ženský;legendy;ženský
v;;v;
kláštore;mužský neživotný;kláštore;mužský neživotný
žil;mužský neživotný;žil;mužský životný
mních;mužský životný;mních;mužský životný
ktorý;mužský neživotný;ktorý;mužský životný
zhrešil;mužský neživotný;zhrešil;mužský životný
Mních;mužský životný;Mních;mužský životný
len;;len;
z;stredný;z;
vďačnosti;ženský;vďačnosti;ženský
pridal;mužský neživotný;pridal;mužský životný
jeho;ženský;jeho;mužský neživotný
obrázok;mužský neživotný;obrázok;mužský neživotný
mytológia;ženský;mytológia;ženský
Tí;mužský životný;Tí;mužský životný
ktorí;mužský životný;ktorí;mužský životný
čím;;čím;stredný
zaplatiť;;zaplatiť;
museli;ženský;museli;mužský životný
putovať;;putovať;
po;;po;
brehoch;mužský neživotný;brehoch;mužský neživotný
po;;po;
celých;ženský;celých;mužský neživotný
sto;ženský;sto;stredný
rokov;mužský neživotný;rokov;mužský neživotný
republika;ženský;republika;ženský
Hlavou;ženský;Hlavou;ženský
štátu;mužský neživotný;štátu;mužský neživotný
bol;ženský;bol;mužský životný
ríšsky;mužský neživotný;ríšsky;mužský životný
prezident;mužský životný;prezident;mužský životný
Súčasne;;Súčasne;
Nemecko;stredný;Nemecko;stredný
stratilo;stredný;stratilo;stredný
všetky;ženský;všetky;ženský
svoje;stredný;svoje;ženský
kolónie;ženský;kolónie;ženský
Územné;ženský;Územné;stredný
členenie;stredný;členenie;stredný
Neskôr;;Neskôr;
došlo;stredný;došlo;stredný
ku;;ku;
počtu;mužský neživotný;počtu;mužský neživotný
spolkových;ženský;spolkových;ženský
krajín;ženský;krajín;ženský
Zoznam;mužský neživotný;Zoznam;mužský neživotný
krajín;ženský;krajín;ženský
trpel;mužský neživotný;trpel;mužský životný
v;;v;
tom;stredný;tom;mužský neživotný
čase;mužský neživotný;čase;mužský neživotný
duševnou;ženský;duševnou;ženský
chorobou;ženský;chorobou;ženský
a;stredný;a;
sám;mužský neživotný;sám;mužský životný
už;;už;
schopný;mužský neživotný;schopný;mužský životný
vládnuť;;vládnuť;
Počas;;Počas;
bola;ženský;bola;ženský
situácia;ženský;situácia;ženský
na;;na;
východnom;mužský neživotný;východnom;mužský neživotný
fronte;mužský neživotný;fronte;mužský neživotný
stabilizovaná;ženský;stabilizovaná;ženský
Odvtedy;;Odvtedy;
vystupoval;mužský neživotný;vystupoval;mužský životný
pod;;pod;
menom;stredný;menom;stredný
Konštantín;mužský životný;Konštantín;mužský životný
ešte;;ešte;
silnejšie;;silnejšie;
ako;;ako;
jeho;ženský;jeho;mužský životný
predchodca;mužský životný;predchodca;mužský životný
začal;mužský neživotný;začal;mužský životný
vyprázdňovať;;vyprázdňovať;
štátnu;ženský;štátnu;ženský
kasu;ženský;kasu;ženský
a;stredný;a;
vyzbrojovať;;vyzbrojovať;
rímske;ženský;rímske;stredný
vojsko;stredný;vojsko;stredný
Táto;ženský;Táto;ženský
jeho;ženský;jeho;ženský
márnotratnosť;ženský;márnotratnosť;ženský
sa;;sa;
skončila;ženský;skončila;ženský
v;;v;
štvrtom;mužský neživotný;štvrtom;mužský neživotný
roku;mužský neživotný;roku;mužský neživotný
jeho;ženský;jeho;ženský
vlády;ženský;vlády;ženský
keď;;keď;
sa;;sa;
mu;mužský neživotný;mu;mužský životný
náhle;;náhle;
zhoršil;mužský neživotný;zhoršil;mužský neživotný
zdravotný;mužský neživotný;zdravotný;mužský neživotný
stav;mužský neživotný;stav;mužský neživotný
Gravitačný;mužský neživotný;Gravitačný;mužský neživotný
manéver;mužský neživotný;manéver;mužský neživotný
Pri;;Pri;
pohľade;mužský neživotný;pohľade;mužský neživotný
z;stredný;z;
veľkej;ženský;veľkej;ženský
vzdialenosti;ženský;vzdialenosti;ženský
sa;;sa;
zdá;;zdá;
že;;že;
sonda;ženský;sonda;ženský
sa;;sa;
od;;od;
planéty;ženský;planéty;ženský
odrazila;ženský;odrazila;ženský
Celkový;mužský neživotný;Celkový;mužský neživotný
efekt;mužský neživotný;efekt;mužský neživotný
na;;na;
zmenu;ženský;zmenu;ženský
veľkosti;ženský;veľkosti;ženský
rýchlosti;ženský;rýchlosti;ženský
je;;je;
nulový;mužský neživotný;nulový;mužský neživotný
zmení;;zmení;
sa;;sa;
iba;;iba;
smer;mužský neživotný;smer;mužský neživotný
letu;mužský neživotný;letu;mužský neživotný
V;;V;
čom;stredný;čom;stredný
je;;je;
teda;;teda;
užitočnosť;ženský;užitočnosť;ženský
manévru;mužský neživotný;manévru;mužský neživotný
Po;;Po;
prelete;mužský neživotný;prelete;mužský neživotný
okolím;stredný;okolím;stredný
planéty;ženský;planéty;ženský
dosiahne;;dosiahne;
sonda;ženský;sonda;ženský
opäť;;opäť;
hranicu;ženský;hranicu;ženský
sféry;ženský;sféry;ženský
gravitačného;mužský neživotný;gravitačného;mužský neživotný
vplyvu;mužský neživotný;vplyvu;mužský neživotný
V;;V;
tomto;stredný;tomto;mužský neživotný
prípade;mužský neživotný;prípade;mužský neživotný
nachádza;;nachádza;
efekt;mužský neživotný;efekt;mužský neživotný
gravitačného;mužský neživotný;gravitačného;mužský neživotný
manévru;mužský neživotný;manévru;mužský neživotný
svoje;stredný;svoje;stredný
najčastejšie;ženský;najčastejšie;stredný
uplatnenie;stredný;uplatnenie;stredný
Príklady;mužský neživotný;Príklady;mužský neživotný
použitia;stredný;použitia;stredný
Ďalším;ženský;Ďalším;mužský neživotný
príkladom;mužský neživotný;príkladom;mužský neživotný
je;;je;
kozmická;ženský;kozmická;ženský
sonda;ženský;sonda;ženský
ESA;;ESA;
ktorá;ženský;ktorá;ženský
študuje;;študuje;
polárne;ženský;polárne;ženský
oblasti;ženský;oblasti;ženský
Slnka;stredný;Slnka;stredný
Je;;Je;
potrebné;ženský;potrebné;stredný
iba;;iba;
palivo;stredný;palivo;stredný
na;;na;
sondy;ženský;sondy;ženský
do;;do;
blízkosti;ženský;blízkosti;ženský
čo;stredný;čo;stredný
je;;je;
celkom;;celkom;
v;;v;
možnostiach;ženský;možnostiach;ženský
súčasných;ženský;súčasných;ženský
technológií;ženský;technológií;ženský
Zvolený;mužský neživotný;Zvolený;mužský životný
bol;ženský;bol;mužský životný
marca;mužský neživotný;marca;mužský neživotný
Na;;Na;
kňazskej;ženský;kňazskej;ženský
dráhe;ženský;dráhe;ženský
postupoval;mužský neživotný;postupoval;mužský životný
nesmierne;;nesmierne;
rýchlo;;rýchlo;
V;;V;
rokoch;mužský neživotný;rokoch;mužský neživotný
študoval;mužský neživotný;študoval;mužský životný
teológiu;ženský;teológiu;ženský
a;stredný;a;
cirkevné;ženský;cirkevné;stredný
právo;stredný;právo;stredný
v;;v;
Tam;;Tam;
sa;;sa;
venoval;mužský neživotný;venoval;mužský životný
literatúre;ženský;literatúre;ženský
maliarstvu;stredný;maliarstvu;stredný
divadlu;stredný;divadlu;stredný
a;stredný;a;
hudbe;ženský;hudbe;ženský
Po;;Po;
smrti;ženský;smrti;ženský
pápeža;mužský životný;pápeža;mužský životný
Alexandra;ženský;Alexandra;mužský životný
VI;;VI;
začal;mužský neživotný;začal;mužský životný
získavať;;získavať;
politický;mužský neživotný;politický;mužský neživotný
vplyv;mužský neživotný;vplyv;mužský neživotný
Lev;mužský neživotný;Lev;mužský životný
X;;X;
bol;ženský;bol;mužský životný
typický;mužský neživotný;typický;mužský životný
renesančný;mužský neživotný;renesančný;mužský životný
panovník;mužský životný;panovník;mužský životný
pokrytecký;mužský neživotný;pokrytecký;mužský životný
politik;mužský životný;politik;mužský životný
a;stredný;a;
S;;S;
Francúzskom;stredný;Francúzskom;stredný
uzavrel;mužský neživotný;uzavrel;mužský životný
konkordát;mužský neživotný;konkordát;mužský neživotný
ktorý;mužský neživotný;ktorý;mužský neživotný
hoci;;hoci;
ho;;ho;mužský neživotný
rímska;ženský;rímska;ženský
kúria;ženský;kúria;ženský
prijala;ženský;prijala;ženský
iba;;iba;
s;stredný;s;
ťažkosťami;ženský;ťažkosťami;ženský
bol;ženský;bol;mužský neživotný
platný;mužský neživotný;platný;mužský neživotný
až;;až;
do;;do;
Francúzskej;ženský;Francúzskej;ženský
revolúcie;ženský;revolúcie;ženský
Pápežova;ženský;Pápežova;ženský
diplomacia;ženský;diplomacia;ženský
mala;;mala;ženský
veľmi;;veľmi;
podobu;ženský;podobu;ženský
Petra;ženský;Petra;mužský životný
Okrem;;Okrem;
si;;si;
zadovažoval;mužský neživotný;zadovažoval;mužský životný
si;;si;
peniaze;mužský neživotný;peniaze;mužský neživotný
úradov;mužský neživotný;úradov;mužský neživotný
ba;;ba;
aj;;aj;
kardinálskych;ženský;kardinálskych;mužský neživotný
titulov;mužský neživotný;titulov;mužský neživotný
Začiatkom;;Začiatkom;
roku;mužský neživotný;roku;mužský neživotný
Lev;mužský neživotný;Lev;mužský životný
nariadil;mužský neživotný;nariadil;mužský životný
generálnemu;mužský neživotný;generálnemu;mužský životný
predstavenému;mužský životný;predstavenému;mužský životný
augustiniánskej;ženský;augustiniánskej;ženský
rehole;ženský;rehole;ženský
aby;;aby;
umlčal;mužský neživotný;umlčal;mužský životný
panovanie;stredný;panovanie;stredný
vypĺňa;;vypĺňa;
takmer;;takmer;
nepretržitý;mužský neživotný;nepretržitý;mužský neživotný
sled;mužský neživotný;sled;mužský neživotný
vnútropolitických;ženský;vnútropolitických;mužský neživotný
a;stredný;a;
zahraničnopolitických;ženský;zahraničnopolitických;mužský neživotný
konfliktov;mužský neživotný;konfliktov;mužský neživotný
ktoré;ženský;ktoré;mužský neživotný
štát;mužský neživotný;štát;mužský neživotný
do;;do;
veľkej;ženský;veľkej;ženský
miery;mužský neživotný;miery;ženský
oslabili;ženský;oslabili;mužský neživotný
Objav;mužský neživotný;Objav;mužský neživotný
mesiaca;mužský neživotný;mesiaca;mužský neživotný
Všimol;mužský neživotný;Všimol;mužský životný
si;;si;
pritom;;pritom;
slabú;ženský;slabú;ženský
hviezdu;ženský;hviezdu;ženský
ktorá;ženský;ktorá;ženský
sa;;sa;
periodicky;;periodicky;
na;;na;
snímkach;ženský;snímkach;ženský
objavovala;ženský;objavovala;ženský
a;stredný;a;
premiestňovala;ženský;premiestňovala;ženský
sa;;sa;
Popis;mužský neživotný;Popis;mužský neživotný
mesiaca;mužský neživotný;mesiaca;mužský neživotný
V;;V;
tom;stredný;tom;mužský neživotný
čase;mužský neživotný;čase;mužský neživotný
sa;;sa;
podľa;;podľa;
rôznych;ženský;rôznych;stredný
meraní;stredný;meraní;stredný
odhadoval;mužský neživotný;odhadoval;mužský neživotný
priemer;mužský neživotný;priemer;mužský neživotný
v;;v;
rozmedzí;stredný;rozmedzí;stredný
od;;od;
do;;do;
km;;km;
Hmotnosť;ženský;Hmotnosť;ženský
je;;je;
približne;;približne;
osmina;ženský;osmina;ženský
hmotnosti;ženský;hmotnosti;ženský
Vznik;mužský neživotný;Vznik;mužský neživotný
Trosky;ženský;Trosky;ženský
z;stredný;z;
povrchu;mužský neživotný;povrchu;mužský neživotný
pri;;pri;
samovražednom;mužský neživotný;samovražednom;mužský neživotný
dopade;mužský neživotný;dopade;mužský neživotný
toho;stredný;toho;stredný
telesa;stredný;telesa;stredný
sa;;sa;
spolu;;spolu;
s;stredný;s;
jeho;ženský;jeho;mužský neživotný
pozostatkami;mužský neživotný;pozostatkami;mužský neživotný
stali;ženský;stali;ženský
materiálom;mužský neživotný;materiálom;mužský neživotný
z;stredný;z;
ktorého;mužský neživotný;ktorého;mužský neživotný
potom;;potom;
vznikol;mužský neživotný;vznikol;mužský neživotný
Kozmický;mužský neživotný;Kozmický;mužský neživotný
prieskum;mužský neživotný;prieskum;mužský neživotný
Získal;mužský neživotný;Získal;mužský neživotný
ich;ženský;ich;mužský životný
strhujúci;mužský neživotný;strhujúci;mužský neživotný
príklad;mužský neživotný;príklad;mužský neživotný
kupca;mužský životný;kupca;mužský životný
Kronikár;mužský životný;Kronikár;mužský životný
píše;;píše;
že;;že;
keď;;keď;
dal;mužský neživotný;dal;mužský životný
svojej;ženský;svojej;ženský
manželke;ženský;manželke;ženský
na;;na;
výber;mužský neživotný;výber;mužský neživotný
medzi;;medzi;
svojim;mužský životný;svojim;mužský neživotný
hnuteľným;ženský;hnuteľným;mužský neživotný
a;stredný;a;
nehnuteľným;ženský;nehnuteľným;mužský neživotný
majetkom;mužský neživotný;majetkom;mužský neživotný
rozhodla;ženský;rozhodla;ženský
sa;;sa;
pre;;pre;
jeho;ženský;jeho;mužský neživotný
statky;mužský neživotný;statky;mužský neživotný
a;stredný;a;
vody;ženský;vody;ženský
lesy;mužský neživotný;lesy;mužský neživotný
a;stredný;a;
lúky;ženský;lúky;ženský
domy;mužský neživotný;domy;mužský neživotný
a;stredný;a;
vinice;ženský;vinice;ženský
pece;ženský;pece;ženský
a;stredný;a;
mlyny;mužský neživotný;mlyny;mužský neživotný
Dala;ženský;Dala;ženský
prednosť;ženský;prednosť;ženský
životu;mužský neživotný;životu;mužský neživotný
v;;v;
pohodlí;stredný;pohodlí;stredný
a;stredný;a;
svoje;stredný;svoje;mužský neživotný
peniaze;mužský neživotný;peniaze;mužský neživotný
rozdal;mužský neživotný;rozdal;mužský životný
On;mužský neživotný;On;mužský životný
aj;;aj;
jeho;ženský;jeho;mužský životný
žiaci;mužský životný;žiaci;mužský životný
horlivo;;horlivo;
vyznávali;ženský;vyznávali;mužský životný
jednotu;ženský;jednotu;ženský
Boha;mužský životný;Boha;mužský životný
stvoriteľa;mužský životný;stvoriteľa;mužský životný
a;stredný;a;
vykupiteľa;mužský životný;vykupiteľa;mužský životný
a;stredný;a;
tým;;tým;stredný
odmietali;ženský;odmietali;mužský životný
